,condition,target,world_model,shadow_model,label,category
0,osteoarthritis,0.0002464238888201282,5.2316349804494736e-05,0.00036469348038079555,1,B-Disease_disorder
1,osteoporosis,0.00131934236131138,0.000616106351729414,0.0014370549834672034,1,B-Disease_disorder
2,chest pain,0.004979364532516481,0.0015487200445888753,0.0036429809142116457,1,B-Biological_structure
3,kidney stones,0.0010293192680914543,0.0006020428188378037,0.0008076292126523977,1,B-Biological_structure
4,"nausea,",0.0024995255128032728,0.0031212679727043117,0.0016138149641103544,1,B-Sign_symptom
5,hypertension,0.00582107224308956,0.010537685588843888,0.004533455621233369,1,B-Sign_symptom
6,fever,0.010163629158225562,0.014665605268553981,0.00886888318351471,1,B-Sign_symptom
7,chills,1.2304364759959599e-05,1.315892720199002e-06,1.0185570460362963e-05,1,B-Sign_symptom
8,hypothyroidism,0.0027954086204048257,0.002864664052019629,0.0034030294848269643,1,B-Disease_disorder
9,allergic rhinitis,0.000875974357834708,3.1590255110778626e-05,0.0011236647820009416,1,B-Detailed_description
10,cough,0.005022449580757686,0.0016151777861785849,0.005346369748910882,1,B-Sign_symptom
11,heroin,3.444020885832255e-07,2.570460729895338e-08,4.259955230519443e-07,0,B-Medication
12,sinusitis,0.002484761499738238,0.0007684746829771664,0.0019241037578427442,0,B-Sign_symptom
13,partial weakness,6.041474779648334e-07,4.747323589720781e-08,5.331582780082606e-07,0,B-Severity
14,dysplasia,2.326840723813961e-05,6.511833725257313e-07,2.3814024169681294e-05,0,B-Sign_symptom
15,multiple myeloma,0.00014531524406103654,0.00020965367574199596,0.00012254440175467224,0,B-Detailed_description
16,emphysema,0.0004012389521049242,0.000126866216689,0.0004685584350261521,0,B-Sign_symptom
17,Citalopram,3.477051265212042e-05,5.710391318207534e-06,3.681608676478409e-05,0,B-Diagnostic_procedure
18,osteochondromas,6.139845757764891e-07,2.648957505576584e-08,7.585114345979154e-06,0,B-Disease_disorder
19,dehydration,9.365160415153544e-05,0.00018839375059336117,7.817403490590456e-05,0,B-Therapeutic_procedure
20,drug allergies,1.036734287992285e-05,7.481282825120021e-06,6.338420202385228e-06,0,B-History
21,sulfa,2.544681780289218e-05,1.7609230812601854e-06,1.982257536132096e-05,0,B-Medication
22,vomiting,0.007620385652499609,0.002254556641110703,0.007675824995617366,1,B-Sign_symptom
23,headache,0.0019407524893598647,0.0005386103518359216,0.002340994359304939,1,B-Sign_symptom
24,dizziness,0.0031335737142596546,0.0036833056790286658,0.003106386734292556,1,B-Sign_symptom
25,nausea,0.006058230610501643,0.002015254179241543,0.004718154743485835,1,B-Sign_symptom
26,lightheadedness,0.0003143257582248043,0.00020403826147235562,0.00020163542373934445,1,B-Sign_symptom
27,Morphine,2.239390412984008e-05,1.9293855821483708e-05,1.481548989568607e-05,1,B-Medication
28,migraine,0.004485465493023951,0.0010794188502612795,0.0039355430561079765,1,B-Sign_symptom
29,blood disorders,5.784958911134216e-06,9.10853941215412e-07,1.0846723555863234e-05,0,B-Disease_disorder
30,kidney stones,0.0003779582341938457,0.00030759171529623665,0.00034413488840239804,0,B-Biological_structure
31,egophony,5.855887151864095e-07,3.5708848171359225e-07,1.0479006145573948e-06,0,B-Coreference
32,Migraines or cancer,2.180109960071182e-12,8.970950964995611e-13,5.0145192576346374e-12,0,B-Sign_symptom
33,bad reaction,3.822238164442935e-06,2.0122699776250727e-06,3.458915352419719e-06,0,B-Lab_value
34,headaches,0.0026709461661483867,0.001439295087128138,0.0026526941368845577,0,B-Sign_symptom
35,bone cancer,1.961740452077664e-05,9.071122603046881e-06,1.9638316041141923e-05,0,B-Biological_structure
36,vomiting,0.003429562763939208,0.0015304897208527912,0.0030265785163958153,1,B-Sign_symptom
37,Zofran,3.0164295525935504e-06,6.269372421907922e-07,1.7691358376795142e-06,1,B-Medication
38,nausea,8.343939483455001e-05,2.0712732891851344e-05,5.558261975000109e-05,1,B-Sign_symptom
39,abdominal pain,0.01550628799848686,0.005014571704598695,0.014524431738562783,1,B-Biological_structure
40,nausea and vomiting,0.000873126246782395,4.473327469643271e-05,0.0009280935704823035,1,B-Sign_symptom
41,fever,0.0029614202841481353,0.02314224095417861,0.0024353241747368556,1,B-Sign_symptom
42,blood disorders,6.481275049875977e-06,1.693514822208653e-06,1.5294322146148935e-05,0,B-Disease_disorder
43,bad his leg deformans,7.78078982433532e-21,2.5976182879323186e-23,3.409366032815548e-20,0,B-Lab_value
44,toenail,4.2849931136698144e-05,3.849138650307514e-06,3.4179396737785764e-05,0,B-Diagnostic_procedure
45,depomedrol,4.328490833452954e-08,2.344032418319107e-09,3.9440875862165573e-08,0,B-Medication
46,Borax,1.3886411207030272e-06,4.496991559785933e-08,8.174774652486617e-07,0,B-Coreference
47,diabetes,0.005532661474117537,0.0030783402356174363,0.007046844154762006,0,B-Disease_disorder
48,chest pain,0.0036315548103455246,0.007429545576741227,0.003014807796267683,1,B-Biological_structure
49,cardiovascular accident,4.1778491553224745e-06,1.9417044689139635e-06,4.15544099212502e-06,1,B-Disease_disorder
50,peripheral edema,0.00010436712672325538,4.814913151295555e-05,7.6355747231945e-05,1,B-Biological_structure
51,leukemia,0.9740424140842334,0.9832823756961785,0.9626724404097098,1,B-Disease_disorder
52,dizziness,0.001668018022913399,0.0007404220435428477,0.0016249265324865213,1,B-Sign_symptom
53,chronic lymphocytic leukemia,0.00012622173980425912,0.0001316071807282721,0.00010261598173093926,1,B-Detailed_description
54,shortness of breath,0.00044585358168053524,0.0008762938612494516,0.0005523416504676415,1,B-Sign_symptom
55,headedness,3.4548351545942767e-08,1.4739903665174615e-09,3.5808580266784917e-08,1,B-Sign_symptom
56,wheezing,0.0002446739970773692,0.00044354105873679336,0.0003343262864033034,1,B-Sign_symptom
57,pain,0.7678476253587745,0.8848579655253618,0.7702444399745709,1,B-Sign_symptom
