,condition,target,world_model,shadow_model,label,category
0,fever,0.008814673526057075,0.008355126089597672,0.008331544715160483,1,B-Sign_symptom
1,osteoporosis,0.0009875039160940496,0.00014780347920070752,0.0010511944518335264,1,B-Disease_disorder
2,cough,0.001746386644856187,0.0014240987994162994,0.001746386644856187,1,B-Sign_symptom
3,"nausea,",0.0019646598951299963,0.006283731946649129,0.0019646598951299963,1,B-Sign_symptom
4,chills,8.102107920895954e-05,0.0005152625090354807,7.61122601721419e-05,1,B-Sign_symptom
5,osteoarthritis,0.0003087183364324667,0.0002257354253952659,0.0003087183364324667,1,B-Disease_disorder
6,hypertension,0.012048230214475021,0.0052675961398102765,0.011387871425267378,1,B-Sign_symptom
7,chest pain,0.003682054848111056,0.02841848692599966,0.0036595488653479342,1,B-Biological_structure
8,allergic rhinitis,0.00038499625765821694,1.7920432922984558e-05,0.00034010163991824165,1,B-Detailed_description
9,hypothyroidism,0.003435730320014098,0.0007524317724753099,0.003433633977955373,1,B-Disease_disorder
10,kidney stones,0.002864274584509006,0.000884673017858298,0.002864274584509006,1,B-Biological_structure
11,tetracycline,0.00014407263909279707,2.548752616668704e-05,0.00014215466558132526,0,B-Diagnostic_procedure
12,urinary infections,1.3988976840726446e-06,5.70356955643656e-07,1.4891188332883564e-06,0,B-Detailed_description
13,septic,0.0004698435457784042,4.50108005373854e-05,0.0004698435457784042,0,B-Detailed_description
14,tendinitis,6.062125225740916e-06,1.066501200398626e-06,5.8756132403455055e-06,0,B-Disease_disorder
15,abortion,3.6245112983504486e-05,5.423000093000934e-06,3.300155092087084e-05,0,B-Activity
16,brother,2.2320547146803297e-06,1.0261881225024e-06,2.2320547146803297e-06,0,B-Subject
17,paralysis,5.5794347108953195e-05,5.6475256972388684e-06,5.441035896933315e-05,0,B-Disease_disorder
18,hernias,1.0381996060646738e-05,2.2080606955908774e-06,1.0318816342325346e-05,0,B-Disease_disorder
19,nausea or vomiting,1.463870850189768e-06,1.1526406331199529e-07,1.2905711167528567e-06,0,B-Sign_symptom
20,Borax,5.614041313615744e-09,1.1617513157060433e-09,4.802521713524331e-09,0,B-Coreference
21,Numbness,9.054014540884715e-05,5.0322082752158957e-05,9.353472588611402e-05,0,B-Sign_symptom
22,nausea,0.01854004113742133,0.012588814898767222,0.01854004113742133,1,B-Sign_symptom
23,headache,0.011970350240288582,0.00807652718464951,0.011245103382179523,1,B-Sign_symptom
24,Morphine,2.1705619924114436e-05,5.995652606011576e-06,2.1038089092356875e-05,1,B-Medication
25,dizziness,0.005779905360776374,0.011809504050727185,0.005838285231507803,1,B-Sign_symptom
26,lightheadedness,0.0005217361193603167,0.00022045666112624748,0.0005182983199059652,1,B-Sign_symptom
27,vomiting,0.021008618934664304,0.017379482604941005,0.019735771058894177,1,B-Sign_symptom
28,migraine,0.0006753209490651953,0.00021778235079433157,0.0006753209490651953,1,B-Sign_symptom
29,lower back and neck pain,1.0708593863882115e-07,4.3981333863922485e-08,9.205099683945497e-08,0,B-Biological_structure
30,LA,8.239482659954456e-06,2.9138323048965025e-06,7.985980428919407e-06,0,B-Detailed_description
