,condition,target,world_model,shadow_model,label,category
0,hypothyroidism,0.0025465105565417425,0.0030764502418471587,0.0025465105565417425,1,B-Disease_disorder
1,hypertension,0.016569255154539976,0.02038502408327877,0.016569255154539976,1,B-Sign_symptom
2,chills,2.640956243363957e-05,9.022667295878375e-06,2.640956243363957e-05,1,B-Sign_symptom
3,osteoarthritis,0.00010674452441487166,0.00012198619232547904,0.00012800906583349206,1,B-Disease_disorder
4,"nausea,",0.00099457536573762,0.0005978435467060096,0.0010523089174568666,1,B-Sign_symptom
5,chest pain,0.0018534780090452157,0.004636973451273423,0.0018534780090452157,1,B-Biological_structure
6,cough,0.0012776837635604748,0.0005270790107471491,0.0012776837635604748,1,B-Sign_symptom
7,allergic rhinitis,0.00038850861448443315,9.855194183008336e-05,0.00036709062172952733,1,B-Detailed_description
8,osteoporosis,0.0020308733799074014,0.0005783598525974155,0.00190782534311389,1,B-Disease_disorder
9,kidney stones,0.0032509516828929117,0.0011259246848382936,0.0030539864774850535,1,B-Biological_structure
10,fever,0.006130904419690964,0.0045667940920248815,0.006130904419690964,1,B-Sign_symptom
11,nausea or vomiting,6.579507045663074e-07,1.5339997384564844e-06,7.007416495634399e-07,0,B-Sign_symptom
12,bad cough,4.4849823401387806e-06,1.55971397866599e-06,4.925789458717442e-06,0,B-Lab_value
13,hepatitis,0.0004148031863436105,0.0006116395958650343,0.00040204103397091127,0,B-Disease_disorder
14,rectocele,8.929497979012841e-08,4.3156289416926136e-08,1.005988442414847e-07,0,B-Diagnostic_procedure
15,anemia,0.0051901927176424755,0.006606336638679881,0.0051584684786892005,0,B-Sign_symptom
16,aureus cellulitis,7.852619630841704e-10,2.719635911726127e-10,8.769040251698579e-10,0,B-Disease_disorder
17,potassium,7.673090478820727e-05,8.261971551547676e-05,7.437014303217052e-05,0,B-Diagnostic_procedure
18,depressed,9.852443199350525e-05,7.93164827905552e-05,9.604795115526184e-05,0,B-Lab_value
19,fatigue,0.0032626797893661936,0.0006580224012688185,0.003473104557003602,0,B-Sign_symptom
20,sinus syndrome,7.424581681816537e-08,1.2353245890682163e-08,7.423067221633637e-08,0,B-Disease_disorder
21,prostate,0.00040437697849408596,0.00026524463954020913,0.00040437697849408596,0,B-Biological_structure
22,lightheadedness,0.00031663429651682134,9.402382019535635e-05,0.00032694279906060505,1,B-Sign_symptom
23,migraine,0.0010459575472145327,0.00044687508301633275,0.0010459575472145327,1,B-Sign_symptom
24,nausea,0.016467978181140965,0.010905450815495613,0.016361528877565305,1,B-Sign_symptom
25,vomiting,0.009322518140775728,0.006250627604814825,0.009322518140775728,1,B-Sign_symptom
26,dizziness,0.0066637868628161515,0.01794713569214419,0.006643456258894295,1,B-Sign_symptom
27,Morphine,1.0579281401330286e-05,4.220754534731484e-06,1.0579261222957143e-05,1,B-Medication
28,headache,0.007728638993468087,0.004697677884503717,0.007260384428233514,1,B-Sign_symptom
29,diabetic,0.0011852251765997197,0.000496633655233104,0.0011852251765997197,0,B-Detailed_description
30,cortisone cream,1.1513887474328571e-07,2.5875159419186302e-08,1.2645483281464964e-07,0,B-Medication
